City;PLZ;State
Feldkirchen;85622;Bayern
Grasbrunn;85630;Bayern
Köditz;95189;Bayern
Adelshofen;82276;Bayern
Nürnberg;90480;Bayern
Titting;85135;Bayern
Altenkunstadt;96264;Bayern
Walting;85137;Bayern
Greding;91171;Bayern
Freystadt;92342;Bayern
Eichenau;82223;Bayern
Schwabhausen;85247;Bayern
Markt Taschendorf;91480;Bayern
Trautskirchen;90619;Bayern
Uehlfeld;91486;Bayern
Oberhaid;96173;Bayern
Halblech;87642;Bayern
Baunach;96148;Bayern
Nordendorf;86695;Bayern
Adelsdorf;91325;Bayern
Egling a.d. Paar;86492;Bayern
Hohenpeißenberg;82383;Bayern
Rödental;96472;Bayern
Obergriesbach;86573;Bayern
Sigmarszell;88138;Bayern
Memmingen;87700;Bayern
Boos;87737;Bayern
Wolfertschwenden;87787;Bayern
Mellrichstadt;97638;Bayern
Illesheim;91471;Bayern
Oberscheinfeld;91483;Bayern
Wonfurt;97539;Bayern
Ederheim;86739;Bayern
Unteregg;87782;Bayern
Marktoffingen;86748;Bayern
Rauhenebrach;96181;Bayern
Goldbach;63773;Bayern
Stadtprozelten;97909;Bayern
Wiesthal;97859;Bayern
Neustadt a. Main;97845;Bayern
Hutthurm;94116;Bayern
Mauth;94151;Bayern
Untergriesbach;94107;Bayern
Jetzendorf;85305;Bayern
Gräfelfing;82166;Bayern
München;81539;Bayern
München;80939;Bayern
Freising;85354;Bayern
Edelsfeld;92265;Bayern
Kelheim;93309;Bayern
Hohenburg;92277;Bayern
Hohenfels;92366;Bayern
Poing;85586;Bayern
Ebersberg;85560;Bayern
Weißenstadt;95163;Bayern
Heroldsberg;90562;Bayern
Königsfeld;96167;Bayern
Nürnberg;90475;Bayern
Burgkunstadt;96224;Bayern
Schwarzenbruck;90592;Bayern
Tettau;96355;Bayern
Großweil;82439;Bayern
Gauting;82131;Bayern
Brunnen;86564;Bayern
Münsing;82541;Bayern
Obersüßbach;84101;Bayern
Wunsiedel;95632;Bayern
Furth;84095;Bayern
Mantel;92708;Bayern
Hohenpolding;84432;Bayern
Pfreimd;92536;Bayern
Alteglofsheim;93087;Bayern
Pfakofen;93101;Bayern
Atting;94348;Bayern
Marklkofen;84163;Bayern
Wiesenfelden;94344;Bayern
Tiefenbach;93464;Bayern
Siegsdorf;83313;Bayern
Malgersdorf;84333;Bayern
Prackenbach;94267;Bayern
Laufen;83410;Bayern
Berchtesgaden & Schönau;83471;Bayern
Niederalteich;94557;Bayern
Mömlingen;63853;Bayern
Obernburg a.Main;63785;Bayern
Schneeberg;63936;Bayern
Irsee;87660;Bayern
Walkertshofen;86877;Bayern
Blindheim;89434;Bayern
Pfarrweisach;96176;Bayern
Prem;86984;Bayern
Asbach-Bäumenheim;86663;Bayern
Gremsdorf;91350;Bayern
Schwifting;86940;Bayern
Röttenbach;91341;Bayern
Böbing;82389;Bayern
Rottenbuch;82401;Bayern
Altendorf;96146;Bayern
Nürnberg;90427;Bayern
Missen-Wilhams;87547;Bayern
Neusitz;91616;Bayern
Burgbernheim;91593;Bayern
Medlingen;89441;Bayern
Lülsfeld;97511;Bayern
Gundremmingen;89355;Bayern
Selb;95100;Bayern
Großkarolinenfeld;83109;Bayern
Höchstädt;95186;Bayern
Krummennaab;92703;Bayern
Ergolding, Landshut;84030;Bayern
Neufahrn i. NB;84088;Bayern
Neubeuern;83115;Bayern
Schwindegg;84419;Bayern
Bruck i.d. OPf.;92436;Bayern
Wörth a.d. Isar;84109;Bayern
Schönberg;84573;Bayern
Gottfrieding;84177;Bayern
Oberschneiding;94363;Bayern
Schwarzach;94374;Bayern
Bernried;94505;Bayern
Eschlkam;93458;Bayern
Buchhofen;94533;Bayern
Frauenau;94258;Bayern
Fürstenzell;94081;Bayern
Schönberg;94513;Bayern
Kulmbach;95326;Bayern
Dachau;85221;Bayern
Neudrossenfeld;95512;Bayern
Pilsach;92367;Bayern
Altmannstein;93336;Bayern
Bayreuth;95448;Bayern
München;80469;Bayern
München;80807;Bayern
München;81669;Bayern
Mainburg;84048;Bayern
Vilseck;92249;Bayern
Moosach;85665;Bayern
Mauern;85419;Bayern
Erding;85435;Bayern
Ensdorf;92266;Bayern
Inchenhofen;86570;Bayern
Schrobenhausen;86529;Bayern
Mittenwald;82481;Bayern
Pöcking;82343;Bayern
Ingolstadt;85051;Bayern
Kleinostheim;63801;Bayern
Walldürn;74731;Bayern
Himmelstadt;97267;Bayern
Höchberg;97204;Bayern
Hausen b. Würzburg;97262;Bayern
Euerbach;97502;Bayern
Schnelldorf;91625;Bayern
Bad Grönenbach;87730;Bayern
Dietmannsried;87463;Bayern
Marktbergel;91613;Bayern
Donnersdorf;97499;Bayern
Finningen;89435;Bayern
Ehingen;91725;Bayern
Rammingen;86871;Bayern
Alerheim;86733;Bayern
Dachsbach;91462;Bayern
Schwangau;87645;Bayern
Viereth-Trunstadt;96191;Bayern
Thaining;86943;Bayern
Friedberg;86316;Bayern
Bayersoien;82435;Bayern
Moorenweis;82272;Bayern
Erlangen;91054;Bayern
Haidmühle;94145;Bayern
Lindau (Bodensee);88131;Bayern
Oberkotzau;95145;Bayern
Kaltenbrunn;92700;Bayern
Rohr i. NB;93352;Bayern
Thierstein;95199;Bayern
Ergoldsbach;84061;Bayern
Köfering;93096;Bayern
Donaustauf;93093;Bayern
Vohenstrauß;92648;Bayern
Sünching;93104;Bayern
Mengkofen;84152;Bayern
Grassau;83224;Bayern
Mettenheim;84562;Bayern
Tüßling;84577;Bayern
Rattiszell;94372;Bayern
Geratskirchen;84552;Bayern
Perasdorf;94366;Bayern
Dietersburg;84378;Bayern
Saaldorf;83416;Bayern
Böbrach;94255;Bayern
Lam;93462;Bayern
Stubenberg;94166;Bayern
Bad Füssing;94072;Bayern
Passau;94036;Bayern
Ringelai;94160;Bayern
Engelthal/Offenhausen;91238;Bayern
Beilngries;92339;Bayern
Neuried;82061;Bayern
Pullach i. Isartal;82049;Bayern
München;81379;Bayern
Grafengehaig;95356;Bayern
Mindelstetten;93349;Bayern
Himmelkron;95502;Bayern
Marktschorgast;95509;Bayern
Waakirchen;83666;Bayern
Brunnthal;85649;Bayern
Warngau;83627;Bayern
Edelsfeld;92265;Bayern
Vorbach;95519;Bayern
Warmensteinach;95485;Bayern
Abensberg;93326;Bayern
Markt Schwaben;85570;Bayern
Bruckmühl;83052;Bayern
Nürnberg;90439;Bayern
Utting a. Ammersee;86919;Bayern
Uffing a. Staffelsee;82449;Bayern
Nürnberg;90403;Bayern
Wielenbach;82407;Bayern
Nürnberg;90482;Bayern
Nürnberg;90473;Bayern
Nürnberg;90411;Bayern
Eckental;90542;Bayern
Langenmosen;86571;Bayern
Aresing;86561;Bayern
Eitensheim;85117;Bayern
Obertrubach;91286;Bayern
Mainaschaff;63814;Bayern
Mönchberg;63933;Bayern
Heimbuchenthal;63872;Bayern
Laufach;63846;Bayern
Birkenfeld;97834;Bayern
Bad Brückenau;97769;Bayern
Gössenheim;97780;Bayern
Eußenheim;97776;Bayern
Arnstein;97450;Bayern
Schönau a.d. Brend;97659;Bayern
Oberstdorf;87561;Bayern
Geslau;91608;Bayern
Rödelsee;97348;Bayern
Burk;91596;Bayern
Aitrang;87648;Bayern
Ziemetshausen;86473;Bayern
Roßhaupten;87672;Bayern
Augsburg;86199;Bayern
Untermeitingen;86836;Bayern
Unterdießen;86944;Bayern
Zirndorf;90513;Bayern
Rottenbuch;82401;Bayern
Ettal;82488;Bayern
Nürnberg;90429;Bayern
Ettenstatt;91796;Bayern
Nürnberg;90408;Bayern
Sonnefeld;96242;Bayern
Weidhausen b. Coburg;96279;Bayern
Karlshuld;86668;Bayern
Großweil;82439;Bayern
Hitzhofen;85122;Bayern
Steinbach a. Wald;96361;Bayern
Mistelgau;95490;Bayern
Wildflecken;97772;Bayern
Leinach;97274;Bayern
Heimenkirch;88178;Bayern
Unterpleichfeld;97294;Bayern
Elchingen;89275;Bayern
Albertshofen;97320;Bayern
Schwanfeld;97523;Bayern
Steinsfeld;91628;Bayern
Wipfeld;97537;Bayern
Buch a. Wald;91592;Bayern
Offingen;89362;Bayern
Dürrlauingen;89350;Bayern
Königsberg i. Bay.;97486;Bayern
Ansbach;91522;Bayern
Esselbach;97839;Bayern
Stockstadt am Main;63811;Bayern
Mömbris;63776;Bayern
Dorfprozelten;97904;Bayern
Regensburg;93059;Bayern
Mitterteich;95666;Bayern
Unterreit;83567;Bayern
Amerang;83123;Bayern
Kirchroth;94356;Bayern
Seeon-Seebruck;83376;Bayern
Steinach;94377;Bayern
Teising;84576;Bayern
Burgkirchen an der Alz;84508;Bayern
Teisendorf;83317;Bayern
Rimbach;93485;Bayern
Postmünster;84389;Bayern
Bayerisch Gmain;83457;Bayern
Langdorf;94264;Bayern
Röckingen;91740;Bayern
Langenneufnach;86863;Bayern
Emskirchen;91448;Bayern
Mühlhausen;96172;Bayern
Heilsbronn;91560;Bayern
Gersthofen;86368;Bayern
Thierhaupten;86672;Bayern
Augsburg;86165;Bayern
Augsburg;86163;Bayern
Ried;86510;Bayern
Neuschönau;94556;Bayern
Sonnen;94164;Bayern
Egling;82544;Bayern
München;80997;Bayern
Baierbrunn;82065;Bayern
Nordhalben;96365;Bayern
Mistelbach;95511;Bayern
München;81476;Bayern
Schnabelwaid;91289;Bayern
München;80798;Bayern
Bischofsgrün;95493;Bayern
Weißenstadt;95163;Bayern
Warmensteinach;95485;Bayern
Glonn;85625;Bayern
Feilitzsch;95183;Bayern
Laaber, Brunn;93164;Bayern
Wettstetten;85139;Bayern
Petershausen;85238;Bayern
Plech;91287;Bayern
Stadtsteinach;95346;Bayern
Ludwigschorgast;95364;Bayern
München;80796;Bayern
Bad Berneck im Fichtelgebirge;95460;Bayern
Miesbach;83714;Bayern
Anzing;85646;Bayern
Freihung;92271;Bayern
Freudenberg;92272;Bayern
Nagel;95697;Bayern
Regensburg;93051;Bayern
Landshut, Altdorf;84032;Bayern
Friedenfels;95688;Bayern
Albaching;83544;Bayern
Zeitlarn;93197;Bayern
Schwarzach b. Nabburg;92548;Bayern
Schnaitsee;83530;Bayern
Engelsberg;84549;Bayern
Pilsting;94431;Bayern
Pemfling;93482;Bayern
Waldmünchen;93449;Bayern
Kirchanschöring;83417;Bayern
Kötzting;93444;Bayern
Fürstenstein;94538;Bayern
Nürnberg;90411;Bayern
Odelzhausen;85235;Bayern
Pähl;82396;Bayern
Landsberied;82290;Bayern
Seefeld;82229;Bayern
Krün;82494;Bayern
Weichering;86706;Bayern
Benediktbeuern;83671;Bayern
Teuschnitz;96358;Bayern
Großwallstadt;63868;Bayern
Collenberg;97903;Bayern
Gräfendorf;97782;Bayern
Thüngen;97289;Bayern
Randersacker;97236;Bayern
Nersingen;89278;Bayern
Eisenheim;97247;Bayern
Markt Rettenbach;87733;Bayern
Wallerstein;86757;Bayern
Oberaurach;97514;Bayern
Weihenzell;91629;Bayern
Vestenbergsgreuth;91487;Bayern
Biessenhofen;87640;Bayern
Burgebrach;96138;Bayern
Rieden am Forggensee;87669;Bayern
Großhabersdorf;90613;Bayern
Langweid a. Lech;86462;Bayern
Oberndorf a.Lech;86698;Bayern
Münster;86692;Bayern
Reichling;86934;Bayern
Holzheim;86684;Bayern
Unterammergau;82497;Bayern
Oberammergau;82487;Bayern
Wartmannsroth;97797;Bayern
Waldbüttelbrunn;97297;Bayern
Würzburg;97072;Bayern
Elfershausen;97725;Bayern
Gerbrunn;97218;Bayern
Neu-Ulm;89233;Bayern
Werneck;97440;Bayern
Heimertingen;87751;Bayern
Grafenrheinfeld;97506;Bayern
Rödelsee;97348;Bayern
Oberstreu;97640;Bayern
Kempten (Allgäu);87439;Bayern
Zöschingen;89447;Bayern
Breitenbrunn;87739;Bayern
Herrieden;91567;Bayern
Scheinfeld;91443;Bayern
Eggenthal;87653;Bayern
Kahl am Main;63796;Bayern
Niedernberg;63843;Bayern
Kleinwallstadt;63839;Bayern
Großheubach;63920;Bayern
Bessenbach;63856;Bayern
Schneeberg;63936;Bayern
Bürgstadt;63927;Bayern
Faulbach;97906;Bayern
Partenstein;97846;Bayern
Erlenbach b. Marktheidenfeld;97837;Bayern
Zeitlofs;97799;Bayern
Helmstadt;97264;Bayern
Grafrath;82284;Bayern
Unterleinleiter;91364;Bayern
Gräfenberg;91322;Bayern
Mitwitz;96268;Bayern
Egloffstein;91349;Bayern
Gößweinstein;91327;Bayern
Ingolstadt;85049;Bayern
Feldafing;82340;Bayern
Gauting;82131;Bayern
Simmelsdorf;91245;Bayern
Planegg/Krailling;82152;Bayern
Betzenstein;91282;Bayern
Kirchdorf;93348;Bayern
Aßling;85617;Bayern
Walpertskirchen;85469;Bayern
Schierling;84069;Bayern
Wenzenbach;93173;Bayern
Prutting;83134;Bayern
Altfraunhofen;84169;Bayern
Baierbach;84171;Bayern
Bernhardswald;93170;Bayern
Soyen;83564;Bayern
Gars a. Inn;83536;Bayern
Neunburg vorm Wald;92431;Bayern
Wörth an der Donau;93086;Bayern
Rettenbach;93191;Bayern
Eslarn;92693;Bayern
Trostberg;83308;Bayern
Schönthal;93488;Bayern
Cham;93413;Bayern
Parkstetten;94365;Bayern
Massing;84323;Bayern
Haselbach;94354;Bayern
Surberg;83362;Bayern
Haarbach;94542;Bayern
Ortenburg;94496;Bayern
Eging a. See;94535;Bayern
Kirchham;94148;Bayern
Spiegelau;94518;Bayern
Neuhaus a. Inn;94152;Bayern
Ingolstadt;85057;Bayern
Ilmmünster;85304;Bayern
Bad Tölz, Wackersberg;83646;Bayern
Dietramszell;83623;Bayern
München;80992;Bayern
Neuenmarkt;95339;Bayern
Münchsmünster;85126;Bayern
Neustadt a.d. Donau;93333;Bayern
Zolling;85406;Bayern
Oberding;85445;Bayern
Marzling;85417;Bayern
Leupoldsgrün;95191;Bayern
Kulmain;95508;Bayern
Saal a.d. Donau;93342;Bayern
Unterschwaningen;91743;Bayern
Hopferau;87659;Bayern
Lisberg;96170;Bayern
Lechbruck;86983;Bayern
Aurachtal;91086;Bayern
Bamberg;96049;Bayern
Niederschönenfeld;86694;Bayern
Prittriching;86931;Bayern
Wildsteig;82409;Bayern
Staffelstein;96231;Bayern
Fürth;90765;Bayern
Peißenberg;82380;Bayern
Freyung;94078;Bayern
Ebermannsdorf;92263;Bayern
Luhe-Wildenau;92706;Bayern
Vilsheim;84186;Bayern
Nittenau;93149;Bayern
Samerberg;83122;Bayern
Neutraubling;93073;Bayern
Geisenhausen;84144;Bayern
Niederaichbach;84100;Bayern
Bärnau;95671;Bayern
Niederviehbach;84183;Bayern
Rain;94369;Bayern
Leiblfing;94339;Bayern
Tacherting;83342;Bayern
Chieming;83339;Bayern
Schorndorf;93489;Bayern
Mitterfels;94360;Bayern
Stephansposching;94569;Bayern
Piding;83451;Bayern
Moos;94554;Bayern
Bayerisch Eisenstein;94252;Bayern
Altertheim;97237;Bayern
Güntersleben;97261;Bayern
Rimpar;97222;Bayern
Röttingen, Tauberrettersheim;97285;Bayern
Würzburg;97078;Bayern
Würzburg;97076;Bayern
Estenfeld;97230;Bayern
Vöhringen;89269;Bayern
Ramsthal;97729;Bayern
Adelshofen;91587;Bayern
Pfaffenhofen a.d. Roth;89284;Bayern
Albertshofen;97320;Bayern
Iphofen;97346;Bayern
Oberstreu;97640;Bayern
Kirchhaslach;87755;Bayern
Gerolzhofen;97447;Bayern
Sontheim;87776;Bayern
Stadtlauringen;97488;Bayern
Gädheim;97503;Bayern
Colmberg;91598;Bayern
Oberrieden;87769;Bayern
Bechhofen;91572;Bayern
Sulzdorf a.d. Lederhecke;97528;Bayern
Germaringen;87656;Bayern
Wachenroth;96193;Bayern
Wolferstadt;86709;Bayern
Bischberg;96120;Bayern
Stegaurach;96135;Bayern
Hallstadt;96103;Bayern
Veitsbronn;90587;Bayern
Itzgrund;96274;Bayern
Hohenfurch;86978;Bayern
Garmisch-Partenkirchen;82467;Bayern
Augsburg;86153;Bayern
Stein;90547;Bayern
Kissing;86438;Bayern
Rott;86935;Bayern
Steindorf;82297;Bayern
Eresing;86922;Bayern
Gemünden a. Main;97737;Bayern
Eckersdorf;95488;Bayern
München;81241;Bayern
Schwarzenbach a. Wald;95131;Bayern
Bayreuth;95444;Bayern
München;81547;Bayern
München;81549;Bayern
Holzkirchen;83607;Bayern
Unterföhring;85774;Bayern
München;81739;Bayern
Grafenwöhr;92655;Bayern
Bad Wiessee;83707;Bayern
Beratzhausen;93176;Bayern
Poppenricht;92284;Bayern
Zorneding;85604;Bayern
Immenreuth;95505;Bayern
Neustadt b. Coburg;96465;Bayern
Nürnberg;90455;Bayern
Inning a. Ammersee;82266;Bayern
Egenhofen;82281;Bayern
Bad Kohlgrub;82433;Bayern
Kirchehrenbach;91356;Bayern
Leutenbach;91359;Bayern
Thalmässing;91177;Bayern
Ohlstadt;82441;Bayern
Maisach;82216;Bayern
Weßling;82234;Bayern
Thurnau;95349;Bayern
Henfenfeld;91239;Bayern
Geretsried;82538;Bayern
Velden/Hartenstein;91235;Bayern
Lauterhofen;92283;Bayern
Glashütten;95496;Bayern
München;81479;Bayern
Ernsgaden;85119;Bayern
München;80797;Bayern
Unterhaching;82008;Bayern
Au in der Hallertau;84072;Bayern
Issigau;95188;Bayern
Kemnath;95478;Bayern
Marktleuthen;95168;Bayern
Bruckberg;84079;Bayern
Pettendorf;93186;Bayern
Kohlberg;92702;Bayern
Raubling;83064;Bayern
Weiden in der OPf., Theisseil;92637;Bayern
Regensburg;93047;Bayern
Stulln;92551;Bayern
Babensham;83547;Bayern
Zell;93199;Bayern
Kraiburg a. Inn;84559;Bayern
Tittmoning;84529;Bayern
Hengersberg;94491;Bayern
Iggensbach;94547;Bayern
Bad Wörishofen;86825;Bayern
Ebern;96106;Bayern
Hainsfarth;86744;Bayern
Heidenheim;91719;Bayern
Langenzenn;90579;Bayern
Treuchtlingen;91757;Bayern
Oberreichenbach;91097;Bayern
Otting;86700;Bayern
Großenseebach;91091;Bayern
Röttenbach;91341;Bayern
Oberasbach;90522;Bayern
Röttenbach;91187;Bayern
Buttenheim;96155;Bayern
Hettstadt;97265;Bayern
Ulm;89081;Bayern
Gelchsheim, Sonderhofen;97255;Bayern
Gaukönigshofen;97253;Bayern
Nüdlingen;97720;Bayern
Oberroth;89294;Bayern
Maßbach;97711;Bayern
Ichenhausen;89335;Bayern
Rödelsee;97348;Bayern
Gochsheim;97469;Bayern
Wiesentheid;97353;Bayern
Fremdingen;86742;Bayern
Ebrach;96157;Bayern
Eppishausen;87745;Bayern
Holzheim;89438;Bayern
Wassertrüdingen;91717;Bayern
Karlstein am Main;63791;Bayern
Karbach;97842;Bayern
Hersbruck;91217;Bayern
Bad Heilbrunn;83670;Bayern
München;80689;Bayern
München;80687;Bayern
Hohenkammer;85411;Bayern
Gesees;95494;Bayern
Geisenfeld;85290;Bayern
Taufkirchen;82024;Bayern
Kastl;92280;Bayern
Stammbach;95236;Bayern
Münchberg;95213;Bayern
Rudelzhausen;84104;Bayern
Selbitz;95152;Bayern
Finsing;85464;Bayern
Vaterstetten;85591;Bayern
Train;93358;Bayern
Feldkirchen-Westerham;83620;Bayern
Kirchseeon;85614;Bayern
Polling;82398;Bayern
Heiligenstadt i. OFr.;91332;Bayern
Sielenbach;86577;Bayern
Wallgau;82499;Bayern
Alling;82239;Bayern
Hilgertshausen-Tandern;86567;Bayern
Schlehdorf;82444;Bayern
Waidhofen;86579;Bayern
Wilhelmsthal;96352;Bayern
Rott a. Inn;83543;Bayern
Tirschenreuth;95643;Bayern
Buchbach;84428;Bayern
Bayerbach bei Ergoldsbach;84092;Bayern
Ampfing;84539;Bayern
Dieterskirchen;92542;Bayern
Marquartstein;83250;Bayern
Altenmarkt a.d. Alz;83352;Bayern
Roding;93426;Bayern
Ruhpolding;83324;Bayern
Vachendorf;83377;Bayern
Zandt;93499;Bayern
Erlbach;84567;Bayern
Viechtach;94234;Bayern
Hohenwarth;93480;Bayern
Bischofsmais;94253;Bayern
Ering;94140;Bayern
Hofkirchen;94544;Bayern
Rinchnach;94269;Bayern
Tiefenbach;94113;Bayern
Ruderting;94161;Bayern
Geroda;97779;Bayern
Illertissen;89257;Bayern
Altusried;87452;Bayern
Woringen;87789;Bayern
Wörnitz;91637;Bayern
Böhen;87736;Bayern
Wiesenbach;86519;Bayern
Kempten (Allgäu);87437;Bayern
Sulzberg;87477;Bayern
Mönchsroth;91614;Bayern
Krombach;63829;Bayern
Aichen;86479;Bayern
Burgwindheim;96154;Bayern
Deiningen;86738;Bayern
Sand a. Main;97522;Bayern
Harburg;86655;Bayern
Ingenried;86980;Bayern
Wehringen;86517;Bayern
Burggen;86977;Bayern
Gerach;96161;Bayern
Meeder;96484;Bayern
Königsbrunn;86343;Bayern
Augsburg;86169;Bayern
Fürth;90768;Bayern
Merching;86504;Bayern
Erlangen;91056;Bayern
Hausen;91353;Bayern
Höttingen;91798;Bayern
Petersdorf;86574;Bayern
Erlangen;91052;Bayern
Baiersdorf;91083;Bayern
Grub a. Forst;96271;Bayern
Schollbrunn;97852;Bayern
Fellen;97778;Bayern
Esselbach;97839;Bayern
Karlstadt;97753;Bayern
Forstinning;85661;Bayern
Bockhorn;85461;Bayern
Neusorg;95700;Bayern
Weiherhammer;92729;Bayern
Bad Abbach;93077;Bayern
Emmering;83550;Bayern
Rosenheim;83026;Bayern
Tiefenbach;84184;Bayern
Ergolding, Landshut;84030;Bayern
Plößberg;95703;Bayern
Halfing;83128;Bayern
Frasdorf;83112;Bayern
Vilsbiburg;84137;Bayern
Prien a. Chiemsee, Herrenchiemssee;83209;Bayern
Georgenberg;92697;Bayern
Mähring;95695;Bayern
Mühldorf a. Inn;84453;Bayern
Bergen;83346;Bayern
Stein a.d. Traun;83371;Bayern
Unterdietfurt;84339;Bayern
Schneizlreuth;83458;Bayern
Inzell;83334;Bayern
Neukirchen;94362;Bayern
Emmerting;84547;Bayern
Anger;83454;Bayern
Arnschwang;93473;Bayern
Petting;83367;Bayern
Ramsau b. Berchtesgaden;83486;Bayern
Achslach;94250;Bayern
Freilassing;83395;Bayern
Passau;94036;Bayern
Unterschleißheim;85716;Bayern
München;80809;Bayern
München;80336;Bayern
München;80333;Bayern
München;80937;Bayern
Kreuth;83708;Bayern
München;81737;Bayern
München;81735;Bayern
Lichtenberg;95192;Bayern
Speichersdorf;95469;Bayern
Freising;85356;Bayern
Eschenbach i.d. OPf.;92676;Bayern
Elsendorf;84094;Bayern
Oberpframmern;85667;Bayern
Hirschau;92242;Bayern
Nürnberg;90425;Bayern
Nürnberg;90459;Bayern
Adelzhausen;86559;Bayern
Fürstenfeldbruck;82256;Bayern
Röthenbach an der Pegnitz;90552;Bayern
Markt Indersdorf;85229;Bayern
Planegg/Krailling;82152;Bayern
Karlskron;85123;Bayern
Wegscheid;94110;Bayern
Alzenau;63755;Bayern
Riedenheim;97283;Bayern
Winterhausen;97286;Bayern
Memmingerberg;87766;Bayern
Burgberg im Allgäu;87545;Bayern
Gundelfingen a.d. Donau;89423;Bayern
Kempten (Allgäu);87435;Bayern
Leutershausen;91578;Bayern
Haldenwang;89356;Bayern
Ehingen a. Ries;86741;Bayern
Höchstädt a.d. Donau;89420;Bayern
Markt Wald;86865;Bayern
Horgau;86497;Bayern
Fünfstetten;86681;Bayern
Schwabbruck;86986;Bayern
Puschendorf;90617;Bayern
Augsburg;86156;Bayern
Bamberg;96052;Bayern
Kaufering;86916;Bayern
Heßdorf;91093;Bayern
Coburg;96450;Bayern
Rögling;86703;Bayern
Mering;86415;Bayern
Niederfüllbach;96489;Bayern
Triefenstein;97855;Bayern
Hohenlinden;85664;Bayern
Schwarzenbach;92720;Bayern
Pentling;93080;Bayern
Regenstauf;93128;Bayern
Teublitz;93158;Bayern
Taufkirchen (Vils);84416;Bayern
Schönwald;95173;Bayern
Steinkirchen;84439;Bayern
Rosenheim;83022;Bayern
Essenbach;84051;Bayern
Gars a. Inn;83555;Bayern
Höslwang;83129;Bayern
Wiesent;93109;Bayern
Mötzing;93099;Bayern
Neumarkt-Sankt Veit;84494;Bayern
Treffelstein;93492;Bayern
Loitzendorf;94359;Bayern
Eggenfelden;84307;Bayern
Miltach;93468;Bayern
Saldenburg;94163;Bayern
Passau;94032;Bayern
Pörnbach;85309;Bayern
Lenting;85101;Bayern
Trebgast;95367;Bayern
Dietfurt a.d. Altmühl;92345;Bayern
Oberhaching;82041;Bayern
München;80539;Bayern
Kirchenthumbach;91281;Bayern
München;81827;Bayern
Valley;83626;Bayern
Langenbach;85416;Bayern
Haag a.d. Amper;85410;Bayern
Mehlmeisel;95694;Bayern
Fischen im Allgäu;87538;Bayern
Weißenhorn;89264;Bayern
Niederwerrn;97464;Bayern
Ergersheim;91465;Bayern
Haunsheim;89437;Bayern
Rettenbach;89364;Bayern
Krumbach (Schwaben);86381;Bayern
Bad Königshofen i. Grabfeld;97631;Bayern
Nesselwang;87484;Bayern
Langenfeld;91474;Bayern
Bissingen;86657;Bayern
Schondorf a. Ammersee;86938;Bayern
Oberau;82496;Bayern
Schwanstetten;90596;Bayern
Königsmoos;86669;Bayern
Kunreuth;91358;Bayern
Lauf an der Pegnitz;91207;Bayern
Sindelsdorf;82404;Bayern
Johannesberg;63867;Bayern
Baisweil;87650;Bayern
Schlüsselfeld;96132;Bayern
Altenmünster;86450;Bayern
Zeil a. Main;97475;Bayern
Wertingen;86637;Bayern
Burgoberbach;91595;Bayern
Pforzen;87666;Bayern
Wechingen;86759;Bayern
Weidenbach;91746;Bayern
Wemding;86650;Bayern
Hiltenfingen;86856;Bayern
Aystetten;86482;Bayern
Windsbach;91575;Bayern
Steingaden;86989;Bayern
Weil;86947;Bayern
Hemhofen;91334;Bayern
Geltendorf;82269;Bayern
Dießen a. Ammersee;86911;Bayern
Eresing;86941;Bayern
Marktheidenfeld;97828;Bayern
Üttingen, Holzkirchen;97292;Bayern
Grafing b. München;85567;Bayern
Marktredwitz;95615;Bayern
Pfaffing;83539;Bayern
Edling;83533;Bayern
Reuth b. Erbendorf;92717;Bayern
Wasserburg a. Inn;83512;Bayern
Schonstett;83137;Bayern
Altenthann;93177;Bayern
Roding;93426;Bayern
Oberviechtach;92526;Bayern
Waldkraiburg;84478;Bayern
Feldkirchen;94351;Bayern
Pösing;93483;Bayern
Reisbach;94419;Bayern
Unterneukirchen;84579;Bayern
Stallwang;94375;Bayern
Hunderdorf;94336;Bayern
Hebertsfelden;84332;Bayern
Kollnburg;94262;Bayern
Offenberg;94560;Bayern
Ainring;83404;Bayern
Grafling;94539;Bayern
Auerbach;94530;Bayern
Schöllnach;94508;Bayern
Windorf;94575;Bayern
Pocking;94060;Bayern
Neukirchen vorm Wald;94154;Bayern
Ingolstadt;85055;Bayern
Vorra;91247;Bayern
München;80686;Bayern
München;80637;Bayern
Gaißach;83674;Bayern
Neukirchen b. Sulzbach-Rosen;92259;Bayern
München;81677;Bayern
Naila;95119;Bayern
München;81929;Bayern
Ottobrunn/Riemerling;85521;Bayern
Ismaning;85737;Bayern
Putzbrunn;85640;Bayern
Aying;85653;Bayern
Bad Berneck im Fichtelgebirge;95460;Bayern
Rottach-Egern;83700;Bayern
Egmating;85658;Bayern
Eitting;85462;Bayern
Gebenbach;92274;Bayern
Hof;95032;Bayern
Ebersdorf b. Coburg;96237;Bayern
Michelau i. OFr.;96247;Bayern
Hattenhofen;82285;Bayern
Wiesenthau;91369;Bayern
Kühbach;86556;Bayern
Wiesenttal;91346;Bayern
Berg im Gau;86562;Bayern
Leinburg;91227;Bayern
Ludwigsstadt;96337;Bayern
Hohenwart;86558;Bayern
Arberg;91722;Bayern
Laugna;86502;Bayern
Meitingen;86405;Bayern
Ehingen;86678;Bayern
Altenstadt;86972;Bayern
Marxheim;86688;Bayern
Ellingen;91792;Bayern
Augsburg;86159;Bayern
